Full Name,email,phone,gender,age,job_title,years_of_experience,salary,department,designation,hire_date
Jose Lopez,joselopez0944@slingacademy.com,Invalid Number,male,25,Project Manager,1,8500,Product,System Engineer,2025-06-08
Diane Carter,dianecarter1228@slingacademy.com,8816330107,female,26,Machine Learning Engineer,2,7000,Product,System Engineer,2025-06-08
Shawn Foster,shawnfoster2695@slingacademy.com,Invalid Number,male,37,Project Manager,14,17000,Product,Lead,2025-06-08
Brenda Fisher,brendafisher3185@slingacademy.com,15745644648,female,31,Web Developer,8,10000,Product,Senior Data Engineer,2025-06-08
Sean Hunter,seanhunter4753@slingacademy.com,5838355842,male,35,Project Manager,11,14500,Product,Lead,2025-06-08
Joshua Jacobs,joshuajacobs5904@slingacademy.com,539132609,male,28,Project Manager,3,10500,Product,Data Engineer,2025-06-08
Brianna Marshall,briannamarshall6438@slingacademy.com,7019328553,female,33,Machine Learning Engineer,10,11000,Product,Senior Data Engineer,2025-06-08
John Tate,johntate7881@slingacademy.com,Invalid Number,male,33,Mobile Developer,10,11000,Product,Senior Data Engineer,2025-06-08
Jillian Byrd,jillianbyrd8170@slingacademy.com,Invalid Number,female,34,Web Developer,10,11000,Product,Senior Data Engineer,2025-06-08
Melanie Sharp,melaniesharp9256@slingacademy.com,8482120230,female,41,Web Developer,15,14500,Product,Lead,2025-06-08
Brandy Mckee,brandymckee10500@slingacademy.com,Invalid Number,female,37,Web Developer,14,14000,Product,Lead,2025-06-08
Robert Simpson,robertsimpson11778@slingacademy.com,Invalid Number,male,36,DevOps Engineer,12,15000,Product,Lead,2025-06-08
George Mckenzie,georgemckenzie12384@slingacademy.com,8434162489,male,28,Machine Learning Engineer,4,10000,Product,Data Engineer,2025-06-08
Joseph Smith,josephsmith13724@slingacademy.com,13802304166,male,40,Machine Learning Engineer,14,14000,Product,Lead,2025-06-08
Dana Crawford,danacrawford14310@slingacademy.com,Invalid Number,female,32,Project Manager,8,12000,Product,Senior Data Engineer,2025-06-08
Christopher Benson,christopherbenson15937@slingacademy.com,Invalid Number,male,29,Web Developer,5,7500,Product,Data Engineer,2025-06-08
Nicole Smith,nicolesmith16360@slingacademy.com,Invalid Number,female,26,Designer,4,10000,Product,Data Engineer,2025-06-08
Peter Jimenez,peterjimenez17791@slingacademy.com,Invalid Number,male,28,Mobile Developer,3,6500,Product,Data Engineer,2025-06-08
