Full Name,email,phone,gender,age,job_title,years_of_experience,salary,department,designation,hire_date
Jose Lopez,joselopez0944@slingacademy.com,Invalid Number,male,25,Project Manager,1,8500,Product,System Engineer,2025-06-16
Diane Carter,dianecarter1228@slingacademy.com,8816330107,female,26,Machine Learning Engineer,2,7000,Product,System Engineer,2025-06-16
Shawn Foster,shawnfoster2695@slingacademy.com,Invalid Number,male,37,Project Manager,14,17000,Product,Lead,2025-06-16
Brenda Fisher,brendafisher3185@slingacademy.com,15745644648,female,31,Web Developer,8,10000,Product,Senior Data Engineer,2025-06-16
Sean Hunter,seanhunter4753@slingacademy.com,5838355842,male,35,Project Manager,11,14500,Product,Lead,2025-06-16
Joshua Jacobs,joshuajacobs5904@slingacademy.com,539132609,male,28,Project Manager,3,10500,Product,Data Engineer,2025-06-16
Brianna Marshall,briannamarshall6438@slingacademy.com,7019328553,female,33,Machine Learning Engineer,10,11000,Product,Senior Data Engineer,2025-06-16
John Tate,johntate7881@slingacademy.com,Invalid Number,male,33,Mobile Developer,10,11000,Product,Senior Data Engineer,2025-06-16
Jillian Byrd,jillianbyrd8170@slingacademy.com,Invalid Number,female,34,Web Developer,10,11000,Product,Senior Data Engineer,2025-06-16
Melanie Sharp,melaniesharp9256@slingacademy.com,8482120230,female,41,Web Developer,15,14500,Product,Lead,2025-06-16
Brandy Mckee,brandymckee10500@slingacademy.com,Invalid Number,female,37,Web Developer,14,14000,Product,Lead,2025-06-16
Robert Simpson,robertsimpson11778@slingacademy.com,Invalid Number,male,36,DevOps Engineer,12,15000,Product,Lead,2025-06-16
George Mckenzie,georgemckenzie12384@slingacademy.com,8434162489,male,28,Machine Learning Engineer,4,10000,Product,Data Engineer,2025-06-16
Joseph Smith,josephsmith13724@slingacademy.com,13802304166,male,40,Machine Learning Engineer,14,14000,Product,Lead,2025-06-16
Dana Crawford,danacrawford14310@slingacademy.com,Invalid Number,female,32,Project Manager,8,12000,Product,Senior Data Engineer,2025-06-16
Christopher Benson,christopherbenson15937@slingacademy.com,Invalid Number,male,29,Web Developer,5,7500,Product,Data Engineer,2025-06-16
Nicole Smith,nicolesmith16360@slingacademy.com,Invalid Number,female,26,Designer,4,10000,Product,Data Engineer,2025-06-16
Peter Jimenez,peterjimenez17791@slingacademy.com,Invalid Number,male,28,Mobile Developer,3,6500,Product,Data Engineer,2025-06-16
Sergio Boyle,sergioboyle18425@slingacademy.com,3027626274,male,31,Tester,6,9000,Product,Senior Data Engineer,2025-06-16
Brianna Moss,briannamoss19517@slingacademy.com,Invalid Number,female,31,Designer,5,10500,Product,Data Engineer,2025-06-16
Taylor Garner,taylorgarner20196@slingacademy.com,Invalid Number,female,32,Machine Learning Engineer,6,11000,Product,Senior Data Engineer,2025-06-16
Michael Padilla,michaelpadilla21381@slingacademy.com,7874461738,male,29,Tester,5,9500,Product,Data Engineer,2025-06-16
Yvette Walker,yvettewalker22744@slingacademy.com,1544890248,female,26,Designer,2,7000,Product,System Engineer,2025-06-16
Kristina Pena,kristinapena23750@slingacademy.com,Invalid Number,female,34,DevOps Engineer,11,12500,Product,Lead,2025-06-16
Vanessa Reynolds,vanessareynolds24710@slingacademy.com,Invalid Number,female,36,Machine Learning Engineer,10,13000,Product,Senior Data Engineer,2025-06-16
Robert Suarez,robertsuarez25924@slingacademy.com,Invalid Number,male,33,Tester,9,9500,Product,Senior Data Engineer,2025-06-16
Tammy Ellis,tammyellis26570@slingacademy.com,Invalid Number,female,37,HR Manager,14,14000,Human Resource,Lead,2025-06-16
Rodney Porter,rodneyporter27496@slingacademy.com,15081874826,male,28,DevOps Engineer,3,9500,Product,Data Engineer,2025-06-16
David Reyes,davidreyes28592@slingacademy.com,Invalid Number,male,25,Designer,2,7000,Product,System Engineer,2025-06-16
Brian Kirby,briankirby29574@slingacademy.com,Invalid Number,male,31,Machine Learning Engineer,8,10000,Product,Senior Data Engineer,2025-06-16
Tammy Walker,tammywalker30386@slingacademy.com,Invalid Number,female,31,Web Developer,7,8500,Product,Senior Data Engineer,2025-06-16
Angela Stewart,angelastewart31951@slingacademy.com,7451575520,female,34,HR Manager,10,10000,Human Resource,Senior Data Engineer,2025-06-16
Susan Parker,susanparker32865@slingacademy.com,2555990102,female,25,DevOps Engineer,3,8500,Product,Data Engineer,2025-06-16
Robert Hogan,roberthogan33599@slingacademy.com,1138662041,male,24,Tester,2,7000,Product,System Engineer,2025-06-16
Dawn Pham,dawnpham34908@slingacademy.com,Invalid Number,female,27,Designer,4,9000,Product,Data Engineer,2025-06-16
Karen Duke,karenduke35869@slingacademy.com,6222452756,female,29,DevOps Engineer,6,11000,Product,Senior Data Engineer,2025-06-16
Julian Thompson,julianthompson36437@slingacademy.com,Invalid Number,male,28,Machine Learning Engineer,4,7000,Product,Data Engineer,2025-06-16
Daisy Perry,daisyperry37789@slingacademy.com,Invalid Number,female,30,Tester,5,9500,Product,Data Engineer,2025-06-16
Sarah Smith,sarahsmith38793@slingacademy.com,Invalid Number,female,24,Machine Learning Engineer,2,6000,Product,System Engineer,2025-06-16
Eric Randolph,ericrandolph39291@slingacademy.com,Invalid Number,male,29,Designer,5,8500,Product,Data Engineer,2025-06-16
William Keller,williamkeller40838@slingacademy.com,Invalid Number,male,30,Web Developer,4,8000,Product,Data Engineer,2025-06-16
George Salas,georgesalas41217@slingacademy.com,Invalid Number,male,35,Web Developer,11,10500,Product,Lead,2025-06-16
Alyssa Archer,alyssaarcher42600@slingacademy.com,Invalid Number,female,35,DevOps Engineer,13,15500,Product,Lead,2025-06-16
Daniel Wagner,danielwagner43907@slingacademy.com,Invalid Number,male,35,HR Manager,11,12500,Human Resource,Lead,2025-06-16
David Howard,davidhoward44518@slingacademy.com,9404754836,male,33,Machine Learning Engineer,9,11500,Product,Senior Data Engineer,2025-06-16
Brett Friedman,brettfriedman45236@slingacademy.com,Invalid Number,male,34,HR Manager,10,10000,Human Resource,Senior Data Engineer,2025-06-16
Shaun Harris,shaunharris46875@slingacademy.com,2796212475,male,23,Designer,1,6500,Product,System Engineer,2025-06-16
Jason Morris,jasonmorris47229@slingacademy.com,Invalid Number,male,28,DevOps Engineer,5,9500,Product,Data Engineer,2025-06-16
Jesse Mcdaniel,jessemcdaniel48348@slingacademy.com,Invalid Number,male,35,Mobile Developer,11,11500,Product,Lead,2025-06-16
Jessica Torres,jessicatorres49971@slingacademy.com,Invalid Number,female,33,HR Manager,7,9500,Human Resource,Senior Data Engineer,2025-06-16
Bradley Garcia,bradleygarcia50896@slingacademy.com,2677945965,male,29,Designer,3,6500,Product,Data Engineer,2025-06-16
Christopher Walker,christopherwalker51808@slingacademy.com,9547402159,male,25,Mobile Developer,1,5500,Product,System Engineer,2025-06-16
Jason Boyd,jasonboyd52182@slingacademy.com,Invalid Number,male,39,Designer,14,15000,Product,Lead,2025-06-16
Colleen Cooper,colleencooper53362@slingacademy.com,Invalid Number,female,32,Machine Learning Engineer,7,10500,Product,Senior Data Engineer,2025-06-16
Laurie Robinson,laurierobinson54980@slingacademy.com,9896112546,female,38,Mobile Developer,15,13500,Product,Lead,2025-06-16
Tiffany Novak,tiffanynovak55365@slingacademy.com,Invalid Number,female,35,Mobile Developer,12,12000,Product,Lead,2025-06-16
Sophia Coleman,sophiacoleman56563@slingacademy.com,Invalid Number,female,40,Tester,15,13500,Product,Lead,2025-06-16
Jodi Harris,jodiharris57145@slingacademy.com,14668050485,female,34,DevOps Engineer,9,13500,Product,Senior Data Engineer,2025-06-16
